season_player_id,season_code,player_id,player,team_id,games_played,games_started,minutes,points,two_points_made,two_points_attempted,three_points_made,three_points_attempted,free_throws_made,free_throws_attempted,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,turnovers,blocks_favour,blocks_against,fouls_committed,fouls_received,valuation,plus_minus,minutes_per_game,points_per_game,two_points_made_per_game,two_points_attempted_per_game,two_points_percentage,three_points_made_per_game,three_points_attempted_per_game,three_points_percentage,free_throws_made_per_game,free_throws_attempted_per_game,free_throws_percentage,offensive_rebounds_per_game,defensive_rebounds_per_game,total_rebounds_per_game,assists_per_game,steals_per_game,turnovers_per_game,blocks_favour_per_game,blocks_against_per_game,fouls_committed_per_game,fouls_received_per_game,valuation_per_game,plus_minus_per_game
U2007_P000286_GUI,U2007,P000286,"AARON, CARLTON",GUI,2.0,2.0,37.2,4,2,10,0,0,0,0,1,1,2,0,2,5,0,1,6,2,-10,-54,18.58,2.0,1.0,5.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.0,1.0,2.5,0.0,0.5,3.0,1.0,-5.0,-27.0
U2007_PLNA_DEN,U2007,PLNA,"AARTS, MARCEL",DEN,10.0,5.0,178.5,62,25,51,0,1,12,18,16,24,40,3,6,9,5,3,23,27,75,-9,17.85,6.2,2.5,5.1,0.49,0.0,0.1,0.0,1.2,1.8,0.667,1.6,2.4,4.0,0.3,0.6,0.9,0.5,0.3,2.3,2.7,7.5,-0.9
U2018_P003733_PAM,U2018,P003733,"ABALDE, ALBERTO",PAM,23.0,7.0,364.9,124,31,54,14,43,20,23,7,40,47,30,12,18,0,4,30,21,127,25,15.86,5.39,1.35,2.35,0.574,0.61,1.87,0.326,0.87,1.0,0.87,0.3,1.74,2.04,1.3,0.52,0.78,0.0,0.17,1.3,0.91,5.52,1.09
U2013_P003527_CTU,U2013,P003527,"ABASS, AWUDU",CTU,9.0,1.0,94.8,36,10,15,4,11,4,5,2,8,10,4,1,4,2,1,14,4,25,-13,10.53,4.0,1.11,1.67,0.667,0.44,1.22,0.364,0.44,0.56,0.8,0.22,0.89,1.11,0.44,0.11,0.44,0.22,0.11,1.56,0.44,2.78,-1.44
U2014_P003527_CTU,U2014,P003527,"ABASS, AWUDU",CTU,17.0,2.0,298.7,94,20,40,13,50,15,17,9,32,41,10,9,14,4,0,23,22,84,37,17.57,5.53,1.18,2.35,0.5,0.76,2.94,0.26,0.88,1.0,0.882,0.53,1.88,2.41,0.59,0.53,0.82,0.24,0.0,1.35,1.29,4.94,2.18
U2018_P003527_BRE,U2018,P003527,"ABASS, AWUDU",BRE,10.0,10.0,288.8,108,31,61,9,34,19,24,21,42,63,15,6,12,2,2,18,21,123,-42,28.88,10.8,3.1,6.1,0.508,0.9,3.4,0.265,1.9,2.4,0.792,2.1,4.2,6.3,1.5,0.6,1.2,0.2,0.2,1.8,2.1,12.3,-4.2
U2019_P003527_BRE,U2019,P003527,"ABASS, AWUDU",BRE,15.0,15.0,398.1,185,41,77,21,62,40,45,10,62,72,30,10,31,5,4,46,55,194,-15,26.54,12.33,2.73,5.13,0.532,1.4,4.13,0.339,2.67,3.0,0.889,0.67,4.13,4.8,2.0,0.67,2.07,0.33,0.27,3.07,3.67,12.93,-1.0
U2020_P003527_VIR,U2020,P003527,"ABASS, AWUDU",VIR,19.0,3.0,286.0,108,19,34,14,33,28,31,7,31,38,13,9,16,7,3,30,27,116,15,15.05,5.68,1.0,1.79,0.559,0.74,1.74,0.424,1.47,1.63,0.903,0.37,1.63,2.0,0.68,0.47,0.84,0.37,0.16,1.58,1.42,6.11,0.79
U2013_P004856_KAL,U2013,P004856,"ABBOTT, TY",KAL,9.0,8.0,273.3,93,17,37,15,59,14,17,10,22,32,22,16,19,1,3,29,20,66,-91,30.36,10.33,1.89,4.11,0.459,1.67,6.56,0.254,1.56,1.89,0.824,1.11,2.44,3.56,2.44,1.78,2.11,0.11,0.33,3.22,2.22,7.33,-10.11
U2010_P002684_VRS,U2010,P002684,"ABDUL HAMID, MUSTAFA",VRS,10.0,4.0,208.0,86,13,25,17,31,9,14,2,16,18,27,5,16,3,1,21,16,86,-17,20.8,8.6,1.3,2.5,0.52,1.7,3.1,0.548,0.9,1.4,0.643,0.2,1.6,1.8,2.7,0.5,1.6,0.3,0.1,2.1,1.6,8.6,-1.7
