season_player_id,season_code,player_id,player_last_name,player_first_name,team_id,games_played,games_started,minutes,points,two_points_made,two_points_attempted,three_points_made,three_points_attempted,free_throws_made,free_throws_attempted,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,turnovers,blocks_favour,blocks_against,fouls_committed,fouls_received,valuation,plus_minus,minutes_per_game,points_per_game,two_points_made_per_game,two_points_attempted_per_game,two_points_percentage,three_points_made_per_game,three_points_attempted_per_game,three_points_percentage,free_throws_made_per_game,free_throws_attempted_per_game,free_throws_percentage,offensive_rebounds_per_game,defensive_rebounds_per_game,total_rebounds_per_game,assists_per_game,steals_per_game,turnovers_per_game,blocks_favour_per_game,blocks_against_per_game,fouls_committed_per_game,fouls_received_per_game,valuation_per_game,plus_minus_per_game,
E2025_P003733_MAD,E2025,P003733,ABALDE,ALBERTO,MAD,2,2,26.8,5,1,3,1,2,0,0,1,2,3,7,0,2,0,0,4,2,8,3,13.38,2.5,0.5,1.5,0.333,0.5,1,0.5,0,0,0,0.5,1,1.5,3.5,0,1,0,0,2,1,4,1.5,
E2025_P003527_DUB,E2025,P003527,ABASS,AWUDU,DUB,3,1,41.8,3,0,2,1,6,0,0,0,0,0,3,0,0,0,1,5,0,-7,-4,13.92,1,0,0.67,0,0.33,2,0.167,0,0,0,0,0,0,1,0,0,0,0.33,1.67,0,-2.33,-1.33,
E2025_P010316_ASV,E2025,P010316,AJINCA,MELVIN,ASV,3,3,40.9,13,1,5,3,9,2,3,1,1,2,1,1,3,0,0,3,1,1,-21,13.63,4.33,0.33,1.67,0.2,1,3,0.333,0.67,1,0.667,0.33,0.33,0.67,0.33,0.33,1,0,0,1,0.33,0.33,-7,
E2025_P010105_MAD,E2025,P010105,ALMANSA,IZAN,MAD,1,0,5.3,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,-1,-2,5.27,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,-1,-2,
E2025_P014005_VIR,E2025,P014005,ALSTON JR.,DERRICK,VIR,3,3,55.1,20,6,8,1,4,5,5,1,5,6,5,1,6,0,0,6,3,18,-18,18.36,6.67,2,2.67,0.75,0.33,1.33,0.25,1.67,1.67,1,0.33,1.67,2,1.67,0.33,2,0,0,2,1,6,-6,
E2025_P012795_DUB,E2025,P012795,ANDERSON,JUSTIN,DUB,2,0,29.8,6,2,4,0,3,2,2,1,2,3,1,1,2,1,0,4,1,2,4,14.88,3,1,2,0.5,0,1.5,0,1,1,1,0.5,1,1.5,0.5,0.5,1,0.5,0,2,0.5,1,2,
E2025_P000956_DUB,E2025,P000956,ANDUSIC,DANILO,DUB,1,0,4,2,0,0,0,2,2,2,0,0,0,0,0,0,0,1,1,2,0,-1,4,2,0,0,0,0,2,0,2,2,1,0,0,0,0,0,0,0,1,1,2,0,-1,
E2025_P011221_OLY,E2025,P011221,ANTETOKOUNMPO,KOSTAS,OLY,2,0,12.2,2,1,1,0,0,0,2,0,2,2,1,0,0,0,0,3,1,1,-2,6.12,1,0.5,0.5,1,0,0,0,0,1,0,0,1,1,0.5,0,0,0,0,1.5,0.5,0.5,-1,
E2025_P012268_ASV,E2025,P012268,ATAMNA,ADAM,ASV,2,0,24.2,3,0,1,1,7,0,0,1,2,3,0,2,2,1,0,3,1,-2,-1,12.09,1.5,0,0.5,0,0.5,3.5,0.143,0,0,0,0.5,1,1.5,0,1,1,0.5,0,1.5,0.5,-1,-0.5,
E2025_P006904_PRS,E2025,P006904,AYAYI,JOEL,PRS,2,0,28,8,1,1,2,4,0,0,4,5,9,2,0,2,0,0,5,2,12,17,14.02,4,0.5,0.5,1,1,2,0.5,0,0,0,2,2.5,4.5,1,0,1,0,0,2.5,1,6,8.5,
E2025_P011286_DUB,E2025,P011286,BACON,DWAYNE,DUB,3,3,86.8,31,10,21,3,9,2,4,1,10,11,11,4,7,0,3,9,9,28,-34,28.93,10.33,3.33,7,0.476,1,3,0.333,0.67,1.33,0.5,0.33,3.33,3.67,3.67,1.33,2.33,0,1,3,3,9.33,-11.33,
E2025_P014015_ULK,E2025,P014015,BACOT JR.,ARMANDO,ULK,2,1,23.3,8,4,5,0,0,0,0,1,1,2,1,1,2,1,0,2,3,11,-11,11.63,4,2,2.5,0.8,0,0,0,0,0,0,0.5,0.5,1,0.5,0.5,1,0.5,0,1,1.5,5.5,-5.5,
E2025_P007527_PAM,E2025,P007527,BADIO,BRANCOU,PAM,1,0,12.1,15,3,3,3,5,0,0,0,0,0,0,0,0,0,0,5,1,9,-4,12.08,15,3,3,1,3,5,0.6,0,0,0,0,0,0,0,0,0,0,0,5,1,9,-4,
E2025_P004655_PRS,E2025,P004655,BAKO,ISMAEL,PRS,3,0,30.9,10,4,8,0,0,2,6,6,3,9,1,2,3,1,0,6,3,9,-18,10.3,3.33,1.33,2.67,0.5,0,0,0,0.67,2,0.333,2,1,3,0.33,0.67,1,0.33,0,2,1,3,-6,
E2025_P012597_MUN,E2025,P012597,BALDWIN,KAMAR,MUN,3,0,38.3,18,4,9,3,7,1,2,0,3,3,7,1,2,0,2,7,4,12,-11,12.77,6,1.33,3,0.444,1,2.33,0.429,0.33,0.67,0.5,0,1,1,2.33,0.33,0.67,0,0.67,2.33,1.33,4,-3.67,
E2025_P009863_ULK,E2025,P009863,BALDWIN IV,WADE,ULK,3,0,79.9,54,15,25,5,13,9,20,2,6,8,22,2,5,0,2,4,14,60,21,26.63,18,5,8.33,0.6,1.67,4.33,0.385,3,6.67,0.45,0.67,2,2.67,7.33,0.67,1.67,0,0.67,1.33,4.67,20,7,
E2025_P003458_DUB,E2025,P003458,BERTANS,DAVIS,DUB,3,3,65.5,35,4,5,8,19,3,4,3,3,6,6,1,2,1,0,4,3,33,-3,21.84,11.67,1.33,1.67,0.8,2.67,6.33,0.421,1,1.33,0.75,1,1,2,2,0.33,0.67,0.33,0,1.33,1,11,-1,
E2025_P006961_ULK,E2025,P006961,BIBEROVIC,TARIK,ULK,3,0,60.2,14,1,9,4,13,0,0,0,8,8,4,2,4,0,1,9,1,-2,-4,20.08,4.67,0.33,3,0.111,1.33,4.33,0.308,0,0,0,0,2.67,2.67,1.33,0.67,1.33,0,0.33,3,0.33,-0.67,-1.33,
