player_first_name,player_last_name,team_id,FinalWeighted_JEI
EDWIN,JACKSON,ASV,73.45
NIKOLA,MIROTIC,MCO,191.2
NEMANJA,NEDOVIC,MCO,134.81
JAN,VESELY,BAR,153.52
DANILO,ANDUSIC,DUB,82.53
TORNIKE,SHENGELIA,BAR,160.43
KOSTAS,PAPANIKOLAOU,OLY,118.69
VLADIMIR,LUCIC,MUN,127.32
GIAMPAOLO,RICCI,MIL,62.76
NIELS,GIFFEY,MUN,81.57
DANIEL,HACKETT,VIR,104.8
KOSTAS,SLOUKAS,PAN,162.1
NANDO,DE COLO,ASV,165.55
MARIUS,GRIGONIS,PAN,111.29
EDGARAS,ULANOVAS,ZAL,113.22
VASILIJE,MICIC,HTA,178.69
KLEMEN,PREPELIC,DUB,103.94
ARNAS,BUTKEVICIUS,ZAL,100.2
NICOLO,MELLI,ULK,123.09
TOMAS,SATORANSKY,BAR,147.41
SERTAC,SANLI,DUB,86.01
MELIH,MAHMUTOGLU,ULK,61.1
BRYANT,DUNSTON,MIL,110.64
METECAN,BIRSEN,ULK,51.81
MARIO,HEZONJA,MAD,148.17
WILLY,HERNANGOMEZ,BAR,120.62
DAVIS,BERTANS,DUB,110.34
SASHA,VEZENKOV,OLY,205.83
DAVID,LIGHTY,ASV,88.63
AWUDU,ABASS,DUB,67.17
ALBERTO,ABALDE,MAD,95.13
NIKOLA,MILUTINOV,OLY,145.74
MARKO,GUDURIC,MIL,135.87
CEDI,OSMAN,PAN,107.39
DANIEL,THEIS,MCO,140.08
YAKUBA,OUATTARA,PRS,67.26
ANDREAS,OBST,MUN,90
LEON,KRATZER,MUN,37.88
ISMAEL,BAKO,PRS,88.16
VANJA,MARINKOVIC,PAR,91.98
STEFAN,JOVIC,MUN,119.16
NIKOLA,KALINIC,RED,125.81
WILL,CLYBURN,BAR,168.76
OMER,YURTSEVEN,PAN,104.64
VLATKO,CANCAR,MIL,5.05
KARIM,JALLOW,VIR,14.95
LAURYNAS,BIRUTIS,ZAL,90.79
RODIONS,KURUCS,BAS,21.38
WALTER,TAVARES,MAD,177.74
GEORGIOS,PAPAGIANNIS,IST,119.27
FACUNDO,CAMPAZZO,MAD,189.93
NEMANJA,DANGUBIC,DUB,66.29
MIKE,JAMES,MCO,202.62
NICOLAS,LAPROVITTOLA,BAR,138.71
DAVID,KRAMER,MAD,36.8
DZANAN,MUSA,DUB,153.59
YOUSSOUPHA,FALL,BAR,99.59
FRANK,NTILIKINA,OLY,78.99
JOSEP,PUERTO,PAM,62.87
ALESSANDRO,PAJOLA,VIR,104.61
ISAAC,BONGA,PAR,108.91
JAYLEN,HOARD,TEL,142.1
JOEL,AYAYI,PRS,11.91
TARIK,BIBEROVIC,ULK,93.99
DEIVIDAS,SIRVYDIS,ZAL,89.1
MAODO,LO,ZAL,115.78
DEVIN,BOOKER,MIL,127.46
ROLANDS,SMITS,IST,98.4
KHEM,BIRCH,ULK,83.49
SHANE,LARKIN,IST,190.36
TADAS,SEDEKERSKIS,BAS,115.94
JOEL,PARRA,BAR,74.72
BRANCOU,BADIO,PAM,5.5
LUKA,SAMANIC,BAS,68.56
USMAN,GARUBA,MAD,81.72
UROS,TRIFUNOVIC,TEL,54.55
ARIJAN,LAKIC,PAR,31.27
SHAVON,SHIELDS,MIL,148.1
KONSTANTINOS,MITOGLOU,PAN,112.41
ONURALP,BITIM,ULK,30.31
LUCA,VILDOZA,VIR,115
