player_first_name,player_last_name,team_id,FinalWeighted_JEI
KENDRICK,NUNN,PAN,211.76
TJ,SHORTS,PRS,211.21
ALEXEY,SHVED,KHI,201.42
SASHA,VEZENKOV,OLY,195.31
MIKE,JAMES,CSK,194.86
NICK,CALATHES,PAN,194.03
MIKE,JAMES,MCO,186.85
WADE,BALDWIN IV,TEL,180.16
EKPE,UDOH,ULK,179.67
NANDO,DE COLO,CSK,178.97
MIKE,JAMES,MIL,178.77
TERRELL,MCINTYRE,SIE,177.09
MATHIAS,LESSORT,PAN,176.88
KEITH,LANGFORD,UNK,176.47
VASILIJE,MICIC,IST,176.14
SHANE,LARKIN,IST,175.98
NIKOLA,MIROTIC,MIL,175.88
NIKOLA,MIROTIC,BAR,175.44
THEO,MALEDON,ASV,172.61
KEENAN,EVANS,ZAL,169.92
DARIUS,THOMPSON,BAS,169.75
BOBAN,MARJANOVIC,RED,169.72
MILOS,TEODOSIC,CSK,168.36
FACUNDO,CAMPAZZO,MAD,167.9
LORENZO,BROWN,TEL,166.5
MALCOLM,DELANEY,TIV,166.08
CHIMA,MONEKE,BAS,164.4
PIERRIA,HENRY,BAS,162.36
BRADLEY,WANAMAKER,DAR,161.9
LUKA,DONCIC,MAD,161.68
NANDO,DE COLO,ULK,160.89
WALTER,TAVARES,MAD,160.59
WILL,CLYBURN,IST,160.46
IOANNIS,BOUROUSIS,BAS,160.19
SCOTTIE,WILBEKIN,TEL,158.94
CARLIK,JONES,PAR,158.67
NIGEL,HAYES,ULK,158.59
KEVIN  XAVIER,PUNTER,BAR,157.74
TIAGO,SPLITTER,BAS,155.79
JOSH,NEBO,TEL,155.45
JAN,VESELY,ULK,155.43
CHUCK,EIDSON,TEL,154.66
SYLVAIN,FRANCISCO,ZAL,154.52
ANDREI,KIRILENKO,CSK,154.34
THOMAS,HEURTEL,IST,153.13
TORNIKE,SHENGELIA,VIR,153.02
WILL,CLYBURN,CSK,152.85
JORDAN,MICKEY,KHI,151.88
CODI,MILLER-MCINTYRE,BAS,151.61
MATHIAS,LESSORT,PAR,151.56
TORNIKE,SHENGELIA,BAS,151.5
GUSTAVO,AYON,MAD,151.45
JUANCHO,HERNANGOMEZ,PAN,151.25
KEVIN,PANGOS,DYR,150.78
CHRIS,JONES,PAM,150.33
BOGDAN,BOGDANOVIC,ULK,150.13
DIMITRIS,DIAMANTIDIS,PAN,149.94
KEVIN  XAVIER,PUNTER,PAR,149.91
NICOLO,MELLI,BAM,148.75
KOSTAS,SLOUKAS,PAN,148.74
KEITH,LANGFORD,MIL,148.62
SHANE,LARKIN,BAS,148.02
LORENZO,BROWN,UNK,147.77
SHAVON,SHIELDS,MIL,147.39
NICK,CALATHES,BAR,146.94
SONNY,WEEMS,CSK,146.48
LUKE,SIKMA,BER,146.43
WADE,BALDWIN IV,MUN,146.17
JAMON-ALFRED,LUCAS,IST,146.04
CARSEN,EDWARDS,MUN,145.68
DAVID,LOGAN,SOP,145.08
ZACH,LEDAY,MIL,145.05
KOSTAS,SLOUKAS,OLY,144.75
NANDO,DE COLO,ASV,144.52
KOSTAS,SLOUKAS,ULK,144.43
ZORAN,PLANINIC,KHI,144.37
ROMAIN,SATO,SIE,143.43
JORDAN,LOYD,RED,143.41
CHRIS,SINGLETON,PAN,143.08
NIKOLA,MIROTIC,MAD,143.06
BONZIE,COLSON,TEL,143.01
JEREMIAH,MASSEY,ARI,142.24
JALEN,REYNOLDS,MUN,142.03
MIRZA,TELETOVIC,BAS,141.95
MIKE,JAMES,PAN,141.93
KSISTOF,LAVRINOVIC,SIE,141.77
FILIP,PETRUSEV,RED,141.74
VINCENT,POIRIER,BAS,141.53
IGOR,RAKOCEVIC,BAS,141.43
LESTER,MC CALEEB,ULK,141.31
DZANAN,MUSA,MAD,141.26
RICKY,HICKMAN,TEL,140.83
DORON,PERKINS,TEL,140.75
